id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1393950090419531778,1393950090419531778,2021-05-16 21:07:54 +0545,2021-05-16,21:07:54,+0545,1254594497926709248,avash_jr,Avash jr,,No matter how many times i come here  i alwa feel good 😁😁😁  https://t.co/7GzDIPaoJM,en,[],[],['https://pbs.twimg.com/media/E1hOMkRVoAQ-MGL.jpg'],0,0,0,[],[],https://twitter.com/Avash_jr/status/1393950090419531778,False,,1,https://pbs.twimg.com/media/E1hOMkRVoAQ-MGL.jpg,kathmandu,,,,,,[],,,,
1388387975587786756,1388387975587786756,2021-05-01 12:46:03 +0545,2021-05-01,12:46:03,+0545,34667729,dahal_shankar,Shankar Dahal,,होम मेड । छोरीको करले जहानले बनाएकी । सिपालु मान्छे विहे गर्दाको फाइदा हेर्नुस 😁😁😁  https://t.co/oIbjDcByC8,ne,[],[],['https://pbs.twimg.com/media/E0SLgRnVkAEIQck.jpg'],0,0,4,[],[],https://twitter.com/Dahal_Shankar/status/1388387975587786756,False,,1,https://pbs.twimg.com/media/E0SLgRnVkAEIQck.jpg,kathmandu,,,,,,[],,,,
1379414463867158528,1379414463867158528,2021-04-06 18:28:31 +0545,2021-04-06,18:28:31,+0545,2439884480,swoneel,Swoneel,"{'type': 'Point', 'coordinates': [27.6921638, 85.51994386]}",हाँस्दिम न त 😁 @ Nagarkot observation point  https://t.co/vQuphGDVEM,und,[],['https://www.instagram.com/p/CNUy7vWhyd_/?igshid=127i178qzbvux'],[],0,0,0,[],[],https://twitter.com/swoneel/status/1379414463867158528,False,,0,,kathmandu,,,,,,[],,,,
1376428257227251712,1376428257227251712,2021-03-29 12:42:23 +0545,2021-03-29,12:42:23,+0545,361752017,eliyashrestha,Eliya Shrestha,"{'type': 'Point', 'coordinates': [27.6544, 85.3195]}","सास यो रहयो भने तिम्रो सिउदो भरुला । Small practice at home..😁😁 @ Lalitpur, Nepal  https://t.co/Nm5VwSyBsY",und,[],['https://www.instagram.com/p/B8Bka1PHm5I/?igshid=184y04eri6asd'],[],0,0,0,[],[],https://twitter.com/EliyaShrestha/status/1376428257227251712,False,,0,,kathmandu,,,,,,[],,,,
1376072347568926724,1376072347568926724,2021-03-28 13:08:08 +0545,2021-03-28,13:08:08,+0545,1338504565411389442,asmitatimalsin9,luri😊❣️,,आफ्नो बाबा ममि बाहेक   अरु  कसैको बिश्वास  नगर्नु होला।😁😁,ne,[],[],[],0,0,3,[],[],https://twitter.com/Asmitatimalsin9/status/1376072347568926724,False,,0,,kathmandu,,,,,,[],,,,
1375594799634378753,1375594799634378753,2021-03-27 05:30:32 +0545,2021-03-27,05:30:32,+0545,295130334,kumarjunu,कुमार आचार्य,,"सबै #टुईटे साथिहरुलाई नमस्ते 🙏🙏 #शुभ_बिहानी 🙏 ☕️☕️ #शुभ_दिन 👍️🙏☕️💗🌹 स्वस्थ रहनुस , ब्यस्त रहनुस , मस्त रहनुस 😀😁  यहाहरु सबैको आजको #सनिबारको दिन शुखद रहोस 👍️🌹🙏❤️☕️💗  #काठमाडौ",ne,[],[],[],7,7,36,"['टुईटे', 'शुभ_बिहानी', 'शुभ_दिन', 'सनिबारको', 'काठमाडौ']",[],https://twitter.com/kumarjunu/status/1375594799634378753,False,,0,,kathmandu,,,,,,[],,,,
1375252423854317568,1375252423854317568,2021-03-26 06:50:03 +0545,2021-03-26,06:50:03,+0545,295130334,kumarjunu,कुमार आचार्य,,"यहाहरु सबै #टुईटे_साथिहरु  सबैजनालाई नमस्ते 🙏🙏 #शुभ_बिहानी ☕️☕️ #शुभ_दिन 💑 🌹👍️☕️💗🍬❤️                           स्वस्थ रहनुस , ब्यस्त रहनुस , मस्त रहनुस 😀😁   आज शुक्रबारको दिन यहाको शुखद रहोस  👍️🌹🙏❤️☕️💗",ne,[],[],[],5,3,20,"['टुईटे_साथिहरु', 'शुभ_बिहानी', 'शुभ_दिन']",[],https://twitter.com/kumarjunu/status/1375252423854317568,False,,0,,kathmandu,,,,,,[],,,,
1375181526917206016,1375181526917206016,2021-03-26 02:08:20 +0545,2021-03-26,02:08:20,+0545,1139726322609971201,ankitku12795261,Ankit Kumar Jha,,होली पर्व घरमै मनाउन स्वास्थ्य मन्त्रालयको आग्रह !! तर  कस्को घर मा भनेर चाहिँ खुलाउन बाकी😁😁😁😁,ne,[],[],[],0,0,0,[],[],https://twitter.com/AnkitKu12795261/status/1375181526917206016,False,,0,,kathmandu,,,,,,[],,,,
1374329939068063748,1374329939068063748,2021-03-23 17:44:25 +0545,2021-03-23,17:44:25,+0545,1072139096968040453,ireriteish,𝐑𝐢𝐭𝐞𝐢𝐬𝐡 𝐈𝐫𝐞,"{'type': 'Point', 'coordinates': [27.71066706, 85.34789182]}",Hope is the thing with feathers that perches in the soul - and sings the tunes without the words - and never stops at all.  ✌️😊🙏👣❤️😁😉 @ Pashupatinath Temple - पशुपतिनाथ मन्दिर  https://t.co/0WpsHxE29O,en,[],['https://www.instagram.com/p/CMwqwSas-mu/?igshid=163jdq2ecz08p'],[],0,0,0,[],[],https://twitter.com/IreRiteish/status/1374329939068063748,False,,0,,kathmandu,,,,,,[],,,,
1371685634750910465,1371685634750910465,2021-03-16 10:36:54 +0545,2021-03-16,10:36:54,+0545,1371378224408580098,lamacelina,Celina LaMa,,using twitter For the first time😁,en,[],[],[],0,0,0,[],[],https://twitter.com/LamaCelina/status/1371685634750910465,False,,0,,kathmandu,,,,,,[],,,,
1368473288335319041,1368473288335319041,2021-03-07 13:52:11 +0545,2021-03-07,13:52:11,+0545,1365333766399348747,sunuwarseema,Seema Sunuwar,,It's raining today.  So I am sitting inside.  Today has been a fun experience.🏫😁😄😃 #nepal #kathamandu #sunday #sweetday,en,[],[],[],0,1,1,"['nepal', 'kathamandu', 'sunday', 'sweetday']",[],https://twitter.com/SunuwarSeema/status/1368473288335319041,False,,0,,kathmandu,,,,,,[],,,,
1366343060129480710,1366343060129480710,2021-03-01 16:47:25 +0545,2021-03-01,16:47:25,+0545,1273427340127662080,kamalka09976054,kamal kafle,"{'type': 'Point', 'coordinates': [27.66786985, 85.35020828]}",I have hopeless crush on someone😁😁🙈🙈I have no chance with😔😔😓  #crush #crusheverything #nochance @ Kathmandu Valley  https://t.co/vlrskPcNvJ,en,[],['https://www.instagram.com/p/CL36un8j8YT/?igshid=1uq12m8ivxga2'],[],0,0,0,"['crush', 'crusheverything', 'nochance']",[],https://twitter.com/kamalka09976054/status/1366343060129480710,False,,0,,kathmandu,,,,,,[],,,,
