id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1396721573973790724,1396721573973790724,2021-05-24 12:40:47 +0545,2021-05-24,12:40:47,+0545,2463281136,royalflo2,Kapendra_kathayat,,😎🧐🧐  https://t.co/gAgsHE6qlt,und,[],[],['https://pbs.twimg.com/media/E2Im3kVVoAU9CfN.jpg'],0,0,1,[],[],https://twitter.com/RoYalfLo2/status/1396721573973790724,False,,1,https://pbs.twimg.com/media/E2Im3kVVoAU9CfN.jpg,kathmandu,,,,,,[],,,,
1396330026178682880,1396330026178682880,2021-05-23 10:44:55 +0545,2021-05-23,10:44:55,+0545,1050313045,thegreatashok4u,Dr Ashok Adhikari,"{'type': 'Point', 'coordinates': [27.6494824, 85.33206549]}",Be yourself for everybody else is already taken.😎 @ Cityscape Nepal  https://t.co/uZhj61rij2,en,[],['https://www.instagram.com/p/CPM_PYns8vOK1rU0rwQZ-VAfmj2Tva5MyuM8CM0/?utm_medium=twitter'],[],0,0,0,[],[],https://twitter.com/thegreatashok4u/status/1396330026178682880,False,,0,,kathmandu,,,,,,[],,,,
1388924094289154055,1388924094289154055,2021-05-03 00:16:23 +0545,2021-05-03,00:16:23,+0545,1050313045,thegreatashok4u,Dr Ashok Adhikari,"{'type': 'Point', 'coordinates': [27.6494824, 85.33206549]}",✌🏼😎 @ Cityscape Nepal  https://t.co/hoM3lgdpyf,it,[],['https://www.instagram.com/p/COYXaZGMZ3S/?igshid=1lipw97zg275z'],[],0,0,0,[],[],https://twitter.com/thegreatashok4u/status/1388924094289154055,False,,0,,kathmandu,,,,,,[],,,,
1388380981632057345,1388380981632057345,2021-05-01 12:18:15 +0545,2021-05-01,12:18:15,+0545,1250717054249734145,bhatiag840,Gurpreet Bhatia,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}",😎I can easily tell how intelligent someone is by how stupid they think I am.😎 #intelligent #intelligentquotes #thinking #stupid #easy #easily #iam #they #someone @ 𝙃𝙊𝙈𝙀  https://t.co/MIpf94Ka7k,en,[],['https://www.instagram.com/p/COUgbvallHPAd-UFL9YGRuj569TwirBybUV-L40/?igshid=1m9o11ae73t5b'],[],0,0,0,"['intelligent', 'intelligentquotes', 'thinking', 'stupid', 'easy', 'easily', 'iam', 'they', 'someone']",[],https://twitter.com/BhatiaG840/status/1388380981632057345,False,,0,,kathmandu,,,,,,[],,,,
1385475642456608768,1385475642456608768,2021-04-23 11:53:28 +0545,2021-04-23,11:53:28,+0545,1174275690,shraddhaaryal,Shraddha aryal,,लोभलाग्दो मौसम 😎  https://t.co/lSqOpuyDjO,ne,[],[],['https://pbs.twimg.com/media/Ezoyv5zUcAYBVM9.jpg'],5,7,231,[],[],https://twitter.com/ShraddhaAryal/status/1385475642456608768,False,,1,https://pbs.twimg.com/media/Ezoyv5zUcAYBVM9.jpg,kathmandu,,,,,,[],,,,
1383795763155660809,1383795763155660809,2021-04-18 20:38:14 +0545,2021-04-18,20:38:14,+0545,781542165906280448,rampukarsah18,Ram Pukar Shah,,I don't have an attitude !!! I have a personality you can't handle 💪😎  https://t.co/6UB4LJwHFJ,en,[],[],"['https://pbs.twimg.com/media/EzQ64zLUUAQ2Vln.jpg', 'https://pbs.twimg.com/media/EzQ66VMVEA0l_d3.jpg']",0,0,1,[],[],https://twitter.com/RamPukarSah18/status/1383795763155660809,False,,1,https://pbs.twimg.com/media/EzQ64zLUUAQ2Vln.jpg,kathmandu,,,,,,[],,,,
1383074450082394115,1383074450082394115,2021-04-16 20:51:59 +0545,2021-04-16,20:51:59,+0545,855663173789249536,rakshithreddy96,Rakshith Reddy,"{'type': 'Point', 'coordinates': [27.7276218, 85.3242818]}",feeling...... Cool 😍😎 @ Some Where Under the Clouds  https://t.co/X3pTChzzKk,en,[],['https://www.instagram.com/p/CNuzTNeLsCl/?igshid=4023pklybrzv'],[],0,0,1,[],[],https://twitter.com/rakshithreddy96/status/1383074450082394115,False,,0,,kathmandu,,,,,,[],,,,
1381232595032100865,1381232595032100865,2021-04-11 18:53:07 +0545,2021-04-11,18:53:07,+0545,1300246178278244352,puspa986,PuSpa Adhikary 😎✌,,यो टुइट काठमाडौ बाट गरिएको हो  तपाईं कहाँबाट पढ्दै हुनुहुन्छ । 😎✌,ne,[],[],[],0,0,5,[],[],https://twitter.com/Puspa986/status/1381232595032100865,False,,0,,kathmandu,,,,,,[],,,,
1380547117266132993,1380547117266132993,2021-04-09 21:29:16 +0545,2021-04-09,21:29:16,+0545,1050313045,thegreatashok4u,Dr Ashok Adhikari,"{'type': 'Point', 'coordinates': [27.6494824, 85.33206549]}","Childhood is not a race , it is a very small moment in time that you’ll never get back # old is gold😎 @ Cityscape Nepal  https://t.co/WPWvgyUplz",en,[],['https://www.instagram.com/p/CNc2AQVM2VV/?igshid=14a0zxnbezkee'],[],0,0,0,[],[],https://twitter.com/thegreatashok4u/status/1380547117266132993,False,,0,,kathmandu,,,,,,[],,,,
1380545690724614146,1380545690724614146,2021-04-09 21:23:36 +0545,2021-04-09,21:23:36,+0545,1050313045,thegreatashok4u,Dr Ashok Adhikari,"{'type': 'Point', 'coordinates': [27.6494824, 85.33206549]}","Childhood is not a race , it is a very small moment in time that you’ll never get back # old is gold😎 @ Cityscape Nepal  https://t.co/gM9L9pAG6F",en,[],['https://www.instagram.com/p/CNc1WrDMkkk/?igshid=tkdz3lbvh6vq'],[],0,0,0,[],[],https://twitter.com/thegreatashok4u/status/1380545690724614146,False,,0,,kathmandu,,,,,,[],,,,
