id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398847569673981956,1398847569673981956,2021-05-30 09:28:44 +0545,2021-05-30,09:28:44,+0545,556200531,royalbhimsen,Royal Bhimsen,"{'type': 'Point', 'coordinates': [27.63895213, 85.43825405]}",May the Lord Shiva’s Trident give strength and power to everyone ♥️ Have a nice day all 😘 ... #Trident #LordShiva #doleshwarmahadev #nepal @ Doleshwor Mahadev  https://t.co/wUKxYNyVfL,en,[],['https://www.instagram.com/p/CPe4FcUMPVDYvnInV-c6vunz2T3uIVF9FEsHFc0/?utm_medium=twitter'],[],0,0,2,"['trident', 'lordshiva', 'doleshwarmahadev', 'nepal']",[],https://twitter.com/royalbhimsen/status/1398847569673981956,False,,0,,kathmandu,,,,,,[],,,,
1391542315836231691,1391542315836231691,2021-05-10 05:40:16 +0545,2021-05-10,05:40:16,+0545,284293224,jamesachille_,James Achille,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}",I love you endlessly. Happy Mother’s Day 😘 @ 𝙃𝙊𝙈𝙀  https://t.co/SBvjWofUpZ,en,[],['https://www.instagram.com/p/COq-CnZhHsL/?igshid=11ej9c9j56w88'],[],0,0,2,[],[],https://twitter.com/JamesAchille_/status/1391542315836231691,False,,0,,kathmandu,,,,,,[],,,,
1391253089231978499,1391253089231978499,2021-05-09 10:30:59 +0545,2021-05-09,10:30:59,+0545,1272108858152898560,prince_yadav06,Yα∂uvαƞshί Prίƞ¢є Yα∂αv,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}",Love you Maa 🙏😘 #maa #mother @ 𝙃𝙊𝙈𝙀  https://t.co/jAel6YgY5x,en,[],['https://www.instagram.com/p/COo6g82N6TQ/?igshid=1280da64kynnp'],[],0,0,1,"['maa', 'mother']",[],https://twitter.com/PRINCE_YADAV06/status/1391253089231978499,False,,0,,kathmandu,,,,,,[],,,,
1390182096493187074,1390182096493187074,2021-05-06 11:35:14 +0545,2021-05-06,11:35:14,+0545,1378699930177396738,prabalbasnyat,Prabal Raj Basnyat,,Twitter Crop is gone 🥰😘 #TwitterSpaces  #Twitter  #crop #NEWUPDATE  #tweets  #Trending #fyp #TrendingNow #2021,en,[],[],[],0,0,1,"['twitterspaces', 'twitter', 'crop', 'newupdate', 'tweets', 'trending', 'fyp', 'trendingnow']",[],https://twitter.com/PrabalBasnyat/status/1390182096493187074,False,,0,,kathmandu,,,,,,[],,,,
1384515555697197063,1384515555697197063,2021-04-20 20:18:26 +0545,2021-04-20,20:18:26,+0545,992719237,me_n_u_ka,मेनुका रोका😘,,तु चमकता हे ताज की तरह 😘 खुबसुरत लगता हे आगाज की तरह आौर ईस धरमी मे कोई नही हमारी तरह 😘😘 Summer Calling 😘  https://t.co/apCPgkI6xO,hi,[],[],['https://pbs.twimg.com/media/EzbJjqNUUAUlz5O.jpg'],0,0,2,[],[],https://twitter.com/Me_n_u_ka/status/1384515555697197063,False,,1,https://pbs.twimg.com/media/EzbJjqNUUAUlz5O.jpg,kathmandu,,,,,,[],,,,
1370969231588737025,1370969231588737025,2021-03-14 11:10:10 +0545,2021-03-14,11:10:10,+0545,935342493482172417,docstorynepal,Doctorstory Nepal-सेवा नै धर्म होl,"{'type': 'Point', 'coordinates': [27.73541783, 85.3300617]}",Congratulations sir and team👏👏👏We wish for the speedy recovery of both father and son. #proudmoment_for_all #fifth_liver_transplant #doctors #team #anesthesia #surgeon #nurse #medicos #thankuall😘  https://t.co/m3xnmKJzo9,en,[],['https://www.instagram.com/p/CMYye-jMHi7/?igshid=15dqvcf3d75c6'],[],0,0,3,"['proudmoment_for_all', 'fifth_liver_transplant', 'doctors', 'team', 'anesthesia', 'surgeon', 'nurse', 'medicos', 'thankuall']",[],https://twitter.com/DocstoryNepal/status/1370969231588737025,False,,0,,kathmandu,,,,,,[],,,,
1367435758110466050,1367435758110466050,2021-03-04 17:09:25 +0545,2021-03-04,17:09:25,+0545,4887899185,ashokayrai,Ashok Rai,"{'type': 'Point', 'coordinates': [27.72019232, 85.36320363]}",😘😘👌 @ The Momo Factory  https://t.co/VkQyInXMCV,en,[],['https://www.instagram.com/p/CL_rpctBMiloL2hvU8E2-ZJyd1gEPxMhkrbGEY0/?igshid=pvlpln90r3w1'],[],0,0,0,[],[],https://twitter.com/ashokayrai/status/1367435758110466050,False,,0,,kathmandu,,,,,,[],,,,
1367127424933093383,1367127424933093383,2021-03-03 20:44:12 +0545,2021-03-03,20:44:12,+0545,1275059356287954947,callmemrx4,Md Ansari,,😘😘😘😘😘😘  https://t.co/6pwGhEohu3,und,[],[],['https://pbs.twimg.com/media/EvkDJXWVoAIOBlK.jpg'],1,0,2,[],[],https://twitter.com/CallMeMrX4/status/1367127424933093383,False,,1,https://pbs.twimg.com/media/EvkDJXWVoAIOBlK.jpg,kathmandu,,,,,,[],,,,
1366788606170255360,1366788606170255360,2021-03-02 22:17:52 +0545,2021-03-02,22:17:52,+0545,1329252813256282112,manju05906915,Manju,,"साच्चै अपुर्ण छ यो दुनियाँ कहिले  निद्रा पुरा हुँदैन त ,कहिले सोचेका सपना.....😘  https://t.co/kFbt7CJSJM",ne,[],[],['https://pbs.twimg.com/media/EvfO-NiVkAINlfv.jpg'],1,0,2,[],[],https://twitter.com/Manju05906915/status/1366788606170255360,False,,1,https://pbs.twimg.com/media/EvfO-NiVkAINlfv.jpg,kathmandu,,,,,,[],,,,
1350806226423087104,1350806226423087104,2021-01-17 19:49:35 +0545,2021-01-17,19:49:35,+0545,151839064,m_o_a_z_z_o_m,Moazzom Morshed,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}","Missing those days in Nepal  miss you guys😘 @ Kathmandu, Nepal  https://t.co/NQKlpMuDdU",en,[],['https://www.instagram.com/p/CKJhaVepDY6KINtu9AaBraH2qXuHtjclybOpoo0/?igshid=1qv1mbil3hkuj'],[],0,0,0,[],[],https://twitter.com/M_o_a_Z_Z_o_m/status/1350806226423087104,False,,0,,kathmandu,,,,,,[],,,,
1350739281371774978,1350739281371774978,2021-01-17 15:23:34 +0545,2021-01-17,15:23:34,+0545,1185919188126203904,sanct_uary,Swuwu,,Will smith and Martin Lawrence we're the bad bois @AstroRochak 🙌😘  https://t.co/Y87SGbEvHc,en,"[{'screen_name': 'astrorochak', 'name': 'la flame', 'id': '1195361041883877376'}]",[],['https://pbs.twimg.com/media/Er7KNkEVcAEYN7h.jpg'],0,0,1,[],[],https://twitter.com/sanct_uary/status/1350739281371774978,False,,1,https://pbs.twimg.com/media/Er7KNkEVcAEYN7h.jpg,kathmandu,,,,,,[],,,,
