id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1366343060129480710,1366343060129480710,2021-03-01 16:47:25 +0545,2021-03-01,16:47:25,+0545,1273427340127662080,kamalka09976054,kamal kafle,"{'type': 'Point', 'coordinates': [27.66786985, 85.35020828]}",I have hopeless crush on someone😁😁🙈🙈I have no chance with😔😔😓  #crush #crusheverything #nochance @ Kathmandu Valley  https://t.co/vlrskPcNvJ,en,[],['https://www.instagram.com/p/CL36un8j8YT/?igshid=1uq12m8ivxga2'],[],0,0,0,"['crush', 'crusheverything', 'nochance']",[],https://twitter.com/kamalka09976054/status/1366343060129480710,False,,0,,kathmandu,,,,,,[],,,,
1351453403705081857,1351453403705081857,2021-01-19 14:41:14 +0545,2021-01-19,14:41:14,+0545,1340160111927414784,suzalmulicha,Suzal Mukhiyaa,,उनलाइ लुकि लुकि हेर्नुको मज्जा पनि       बेग्लै अदभूत मज्जा रहेछ 🙈 उनिले त त्यो बेला नहेरेकै जाति😝🙈 #OnesideLove❣️  https://t.co/oCii41WggJ,ne,[],[],['https://pbs.twimg.com/media/EsFTs9FUcAECQyZ.jpg'],0,1,3,['onesidelove'],[],https://twitter.com/SuZalMulicha/status/1351453403705081857,False,,1,https://pbs.twimg.com/media/EsFTs9FUcAECQyZ.jpg,kathmandu,,,,,,[],,,,
1345982827083358208,1345982827083358208,2021-01-04 12:23:07 +0545,2021-01-04,12:23:07,+0545,1225768507943485441,iamjibanjoshi,Jiban Joshi (G-One),,Being Crazy so much cold🙈🙀🙀🙊🙉🙉 Morning View  https://t.co/t9G08bALbD,en,[],[],['https://pbs.twimg.com/media/Eq3kP0uUYAApU9o.jpg'],0,1,2,[],[],https://twitter.com/iAmJibanJoshi/status/1345982827083358208,False,,1,https://pbs.twimg.com/media/Eq3kP0uUYAApU9o.jpg,kathmandu,,,,,,[],,,,
1296757670880391168,1296757670880391168,2020-08-21 16:19:55 +0545,2020-08-21,16:19:55,+0545,759058668260241410,chiran44716309,Chiran kseee,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}","मन परे सुटुक्कै भन्नू ल !!! हल्ला नगरी 🙈😻😹 @ Kathmandu, Nepal  https://t.co/tm9J6IvcwV",ne,[],['https://www.instagram.com/p/CEJe-oWFXsF/?igshid=1e4cicnljoou7'],[],0,0,0,[],[],https://twitter.com/Chiran44716309/status/1296757670880391168,False,,0,,kathmandu,,,,,,[],,,,
1295273220094877696,1295273220094877696,2020-08-17 14:01:15 +0545,2020-08-17,14:01:15,+0545,1292363313867702273,andreashrestha3,Andrea Shrestha,,मलाइ पाउने आश नगर🙄  किन कि म जन्मिसके😜🤣🙈,ne,[],[],[],1,1,2,[],[],https://twitter.com/AndreaShrestha3/status/1295273220094877696,False,,0,,kathmandu,,,,,,[],,,,
1294265188976168960,1294265188976168960,2020-08-14 19:15:41 +0545,2020-08-14,19:15:41,+0545,143741784,bijadaisy,Bijaya Laxmi Chaudhary,,Happy tummy happy me 🙈  https://t.co/PISbdiNEvc,en,[],[],['https://pbs.twimg.com/media/EfYnUuQUwAAgFKz.jpg'],0,0,2,[],[],https://twitter.com/bijadaisy/status/1294265188976168960,False,,1,https://pbs.twimg.com/media/EfYnUuQUwAAgFKz.jpg,kathmandu,,,,,,[],,,,
1291361411373858817,1291361411373858817,2020-08-06 18:57:07 +0545,2020-08-06,18:57:07,+0545,1290894067430088705,sp1237651,sheetal phuyal,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}","The ‘You-effect’ ! 🙈 @ Kathmandu, Nepal  https://t.co/kn1m3VUqlX",en,[],['https://www.instagram.com/p/CDjJCrej8XoEgD2ZzpWkRPrTBE8avoMMTYOVik0/?igshid=7z5j6hs7ymku'],[],0,0,1,[],[],https://twitter.com/sp1237651/status/1291361411373858817,False,,0,,kathmandu,,,,,,[],,,,
1283035298977517575,1283035298977517575,2020-07-14 19:32:07 +0545,2020-07-14,19:32:07,+0545,728825614069682176,sukubarako36,स्वच्छ मुहान🙏🙏😀,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}","के माया लाग्छ र?😜🙏🙏🙈🙈 @ Kathmandu, Nepal  https://t.co/u4gyVmCcL8",und,[],['https://www.instagram.com/p/CCn-qzVlRAU/?igshid=cn2zxiemkv4b'],[],0,0,0,[],[],https://twitter.com/sukubarako36/status/1283035298977517575,False,,0,,kathmandu,,,,,,[],,,,
1272829796951588864,1272829796951588864,2020-06-16 15:39:06 +0545,2020-06-16,15:39:06,+0545,810791272839454720,sabinak02635436,Sabina karki,,लकडाउनकाे ८४ औ दिन मा चाेकसम्म गएकाे । सबै पसल खुलेका रहेछन् । सवारीसाधन र मान्छे खचाखच देखे ।  कोरोना भाइरस त नेपाल बाट बाहिरीसके छ  । 🙈🙈🙈,ne,[],[],[],7,14,99,[],[],https://twitter.com/sabinak02635436/status/1272829796951588864,False,,0,,kathmandu,,,,,,[],,,,
1266580417555001344,1266580417555001344,2020-05-30 09:46:18 +0545,2020-05-30,09:46:18,+0545,1042312182355120129,sukuyatra_com,SUKUYATRA.COM,"{'type': 'Point', 'coordinates': [27.7344013, 85.314371]}",केटि सँगको बहस  जिन्दगी तहस नहस ! 😂😂  चेतना होस 🙈🤪 @ Lg Tea Shop  https://t.co/pK9kjjOXvN,ne,[],['https://www.instagram.com/p/CAzD80AJhaH/?igshid=1ih47uehk43a4'],[],0,0,1,[],[],https://twitter.com/SUKUYATRA_COM/status/1266580417555001344,False,,0,,kathmandu,,,,,,[],,,,
