id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1396821258285760514,1396821258285760514,2021-05-24 19:16:54 +0545,2021-05-24,19:16:54,+0545,618913486,nupurjoshi6,nupur joshi,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}",Not just #stayinghome                    I'm #slaying it too !!! . . . . . #find  #findyourspot  #keepyourselfbusy  #dowhatyoulike  #keeppraying  #staycalm😇  #stayingstylish  #staystrong  #loveandstrength @ 𝙃𝙊𝙈𝙀  https://t.co/sWgZZvGQfp,en,[],['https://www.instagram.com/p/CPQen25Dlw-/?utm_medium=twitter'],[],0,0,0,"['stayinghome', 'slaying', 'find', 'findyourspot', 'keepyourselfbusy', 'dowhatyoulike', 'keeppraying', 'staycalm', 'stayingstylish', 'staystrong', 'loveandstrength']",[],https://twitter.com/nupurjoshi6/status/1396821258285760514,False,,0,,kathmandu,,,,,,[],,,,
1375848110472183808,1375848110472183808,2021-03-27 22:17:06 +0545,2021-03-27,22:17:06,+0545,1978647728,neetubaral1,Neetu,"{'type': 'Point', 'coordinates': [27.69872902, 85.31132683]}",🙏😇 @ Talbarahi Pokhara  https://t.co/LSpHp55foT,in,[],['https://www.instagram.com/p/CM7dJKZBiOPcTNt-hCmT2-Ht5T5l4I_u7scph00/?igshid=1awk6s9c1w03r'],[],0,0,0,[],[],https://twitter.com/neetubaral1/status/1375848110472183808,False,,0,,kathmandu,,,,,,[],,,,
1363383343853756418,1363383343853756418,2021-02-21 12:46:34 +0545,2021-02-21,12:46:34,+0545,1344285823,rana1997rohit,rohit rana,"{'type': 'Point', 'coordinates': [27.677414, 85.316137]}",Happy Moments 😇🙏🏻 #happyfaces😊 #family❤️  21/02/2021 @ The Burger House And Crunchy Fried Chicken  https://t.co/TA7Tdzknk7,en,[],['https://www.instagram.com/p/CLi402glHzX/?igshid=z7chnopkm6xj'],[],0,0,0,"['happyfaces', 'family']",[],https://twitter.com/Rana1997Rohit/status/1363383343853756418,False,,0,,kathmandu,,,,,,[],,,,
1363142750749683712,1363142750749683712,2021-02-20 20:50:32 +0545,2021-02-20,20:50:32,+0545,1325504465324167171,pankajp69205315,Dr. Pankaj Pandey,,Little #boxerpuppy's head slips down while sleeping and #tathastu_thedog tries repeatedly to place his head overr his owners heart 😍😇🐕♥️ #petdog #myfirstpet #boxerpuppy  https://t.co/aUhQoYHXGI,en,[],[],[],0,0,1,"['boxerpuppy', 'tathastu_thedog', 'petdog', 'myfirstpet', 'boxerpuppy']",[],https://twitter.com/PankajP69205315/status/1363142750749683712,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1363142400277798912/pu/img/8SNLOvOqNH_UK3bC.jpg,kathmandu,,,,,,[],,,,
1362031912500555781,1362031912500555781,2021-02-17 19:16:27 +0545,2021-02-17,19:16:27,+0545,1259953105824878594,rexgerard1,Mr.Rex Gerard,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}","For you are dusy, and to dust you will return Genesis 3:19 Have A Blessed Ash Wednesday 😇🙏🏻 @ 𝙃𝙊𝙈𝙀  https://t.co/JzHDnbxgTM",en,[],['https://www.instagram.com/p/CLZSQ6RlOOY/?igshid=pjor3fz3dyk0'],[],0,0,0,[],[],https://twitter.com/RexGerard1/status/1362031912500555781,False,,0,,kathmandu,,,,,,[],,,,
1354975437315706890,1354975437315706890,2021-01-29 07:56:33 +0545,2021-01-29,07:56:33,+0545,1302278347758551041,bijayth18279755,Bijay Thakur,,The beauty of nature ♥️😇  https://t.co/6F733t2YVe,en,[],[],"['https://pbs.twimg.com/media/Es3W989VEAEw0h-.jpg', 'https://pbs.twimg.com/media/Es3W988U0AEJoK5.jpg']",0,0,2,[],[],https://twitter.com/BijayTh18279755/status/1354975437315706890,False,,1,https://pbs.twimg.com/media/Es3W989VEAEw0h-.jpg,kathmandu,,,,,,[],,,,
1354057010782887938,1354057010782887938,2021-01-26 19:07:03 +0545,2021-01-26,19:07:03,+0545,2787144360,nepalplanettrek,Visit Nepal 2021/2022 - Lifetime Experience,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}","Satdobato, Lalitpur - - - Langtang mountain range view from Satdobato, Lalitpur. - - - Follow @nepalplanettrek for more 😇 - - - #smilenepal #nepal #nepalguideinfo #nepalesestyle #nepalese   https://t.co/C8TL7cLSww  https://t.co/il9mWpt1O8",en,"[{'screen_name': 'nepalplanettrek', 'name': 'visit nepal 2021/2022 - lifetime experience', 'id': '2787144360'}]","['https://www.nepalguideinfo.com', 'https://www.instagram.com/p/CKgnsn4DlN9/?igshid=pcsatl7majpf']",[],0,0,0,"['smilenepal', 'nepal', 'nepalguideinfo', 'nepalesestyle', 'nepalese']",[],https://twitter.com/nepalplanettrek/status/1354057010782887938,False,,0,,kathmandu,,,,,,[],,,,
1354056375689592834,1354056375689592834,2021-01-26 19:04:31 +0545,2021-01-26,19:04:31,+0545,2787144360,nepalplanettrek,Visit Nepal 2021/2022 - Lifetime Experience,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}","Satdobato, Lalitpur - - - Langtang mountain range view from Satdobato, Lalitpur. - - - Follow @nepalplanettrek for more 😇 - - - #smilenepal #nepal #nepalguideinfo #nepalesestyle #nepalese   https://t.co/C8TL7d3to4  https://t.co/MGE8j1dXmx",en,"[{'screen_name': 'nepalplanettrek', 'name': 'visit nepal 2021/2022 - lifetime experience', 'id': '2787144360'}]","['https://www.nepalguideinfo.com', 'https://www.instagram.com/p/CKgnaAJrAoa/?igshid=1x5qjhi2crb']",[],0,0,0,"['smilenepal', 'nepal', 'nepalguideinfo', 'nepalesestyle', 'nepalese']",[],https://twitter.com/nepalplanettrek/status/1354056375689592834,False,,0,,kathmandu,,,,,,[],,,,
1354055655552921606,1354055655552921606,2021-01-26 19:01:40 +0545,2021-01-26,19:01:40,+0545,2787144360,nepalplanettrek,Visit Nepal 2021/2022 - Lifetime Experience,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}","Satdobato, Lalitpur - - - Langtang mountain range view from Satdobato, Lalitpur. - - - Follow @nepalplanettrek for more 😇 - - - #smilenepal #nepal #nepalguideinfo #nepalesestyle #nepalese   https://t.co/C8TL7cLSww  https://t.co/oKWagxUwJV",en,"[{'screen_name': 'nepalplanettrek', 'name': 'visit nepal 2021/2022 - lifetime experience', 'id': '2787144360'}]","['https://www.nepalguideinfo.com', 'https://www.instagram.com/p/CKgnFSijbKH/?igshid=l3u95y1bbf15']",[],0,0,0,"['smilenepal', 'nepal', 'nepalguideinfo', 'nepalesestyle', 'nepalese']",[],https://twitter.com/nepalplanettrek/status/1354055655552921606,False,,0,,kathmandu,,,,,,[],,,,
1351546029754052610,1351546029754052610,2021-01-19 20:49:18 +0545,2021-01-19,20:49:18,+0545,4707711919,baba_sanjoo,Sanjoo Baba,,Find out what you like doing best and get someone to pay you for doing it. 😇 #lifestyle #professionalservice  https://t.co/WgIkRLC7li,en,[],[],['https://pbs.twimg.com/media/EsGn7PxU0AElzJr.jpg'],0,0,2,"['lifestyle', 'professionalservice']",[],https://twitter.com/baba_sanjoo/status/1351546029754052610,False,,1,https://pbs.twimg.com/media/EsGn7PxU0AElzJr.jpg,kathmandu,,,,,,[],,,,
