id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1342544076978044929,1342544076978044929,2020-12-26 00:38:45 +0545,2020-12-26,00:38:45,+0545,1342540315756904448,aryan10492295,Ar Yan,,राम्राले राम्रो भन्यो मलाई? नराम्रो ले नराम्रो भन्यो मलाई? जसलाई जति जरुरत थ्यो त्यसले त्यति बुझ्यो मलाई?🙃😒😏😒  https://t.co/Fp7ezSh90d,ne,[],[],['https://pbs.twimg.com/media/EqGsuO4UwAAq8Aa.jpg'],0,0,0,[],[],https://twitter.com/ArYan10492295/status/1342544076978044929,False,,1,https://pbs.twimg.com/media/EqGsuO4UwAAq8Aa.jpg,kathmandu,,,,,,[],,,,
1330497480841068544,1330497480841068544,2020-11-22 18:49:53 +0545,2020-11-22,18:49:53,+0545,992719237,me_n_u_ka,मेनुका रोका😘,,जाडो  को मौसम् मा  पनि 7 बजे सम्म काम  गर्नु पर्दाको पिडा 😒😏,ne,[],[],[],0,0,1,[],[],https://twitter.com/Me_n_u_ka/status/1330497480841068544,False,,0,,kathmandu,,,,,,[],,,,
1329332498547961859,1329332498547961859,2020-11-19 13:40:40 +0545,2020-11-19,13:40:40,+0545,1322385521033687041,adi_srk2020,Aadi🇳🇵,,And I'm missing this 😒  https://t.co/mfSHG9kJdO,en,[],[],['https://pbs.twimg.com/media/EnK83IHUUAA6eNy.jpg'],1,0,2,[],[],https://twitter.com/adi_srk2020/status/1329332498547961859,False,,1,https://pbs.twimg.com/media/EnK83IHUUAA6eNy.jpg,kathmandu,,,,,,[],,,,
1302946838471827456,1302946838471827456,2020-09-07 18:13:28 +0545,2020-09-07,18:13:28,+0545,1174275690,shraddhaaryal,Shraddha aryal,,विकास हुदै छ यहाँ ! 😒  https://t.co/N6lF6OwvjG,ne,[],[],[],6,4,79,[],[],https://twitter.com/ShraddhaAryal/status/1302946838471827456,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1302946779982229504/pu/img/QDFj2vsRsMGYFGhF.jpg,kathmandu,,,,,,[],,,,
1298465210920046592,1298465210920046592,2020-08-26 09:25:05 +0545,2020-08-26,09:25:05,+0545,1017470371,astharaut,Astha Raut,"{'type': 'Point', 'coordinates': [27.6943391, 85.3228702]}",Good Morning all my Darling Well wishers 💛  Missing this Breakfast the most 😒😔  #staysafe #stayhealthy #stayhappy @ Chez Caroline  https://t.co/zbFY0yULiU,en,[],['https://www.instagram.com/p/CEVneYJAbQb/?igshid=1bbl603if6dq7'],[],0,0,1,"['staysafe', 'stayhealthy', 'stayhappy']",[],https://twitter.com/astharaut/status/1298465210920046592,False,,0,,kathmandu,,,,,,[],,,,
1280023156132995072,1280023156132995072,2020-07-06 12:02:56 +0545,2020-07-06,12:02:56,+0545,2760417466,bindiyabajra,|3¡nd¡y@ |3@jr@ch@ry@,,😒😒  https://t.co/odDK14SwAi,und,[],[],['https://pbs.twimg.com/media/EcOORWLUwAA_25P.jpg'],0,0,3,[],[],https://twitter.com/bindiyabajra/status/1280023156132995072,False,,1,https://pbs.twimg.com/media/EcOORWLUwAA_25P.jpg,kathmandu,,,,,,[],,,,
1251133181421633538,1251133181421633538,2020-04-17 18:44:30 +0545,2020-04-17,18:44:30,+0545,1172831687522189312,momardeen,Omardeen,"{'type': 'Point', 'coordinates': [27.66534228, 85.33586383]}",I’m not lazy😒😒😒 I’m just on my energy saving mode.⚡⚡⚡ . . . Clikz:ruman.05  Editz:m.i.c.a.h__8_29  . . . #attitudeposer #fashionphotography #dressup #fashionblogger #jungkook #goodattitudes #healthylifestyle #omar…  https://t.co/ueO2S74b8K,en,[],['https://www.instagram.com/p/B_FTW4SABM9/?igshid=1fty50rhdoqzp'],[],0,0,0,"['attitudeposer', 'fashionphotography', 'dressup', 'fashionblogger', 'jungkook', 'goodattitudes', 'healthylifestyle', 'omar']",[],https://twitter.com/MOmardeen/status/1251133181421633538,False,,0,,kathmandu,,,,,,[],,,,
1223608186848055297,1223608186848055297,2020-02-01 19:49:59 +0545,2020-02-01,19:49:59,+0545,2953291155,krishnakhadkav,♡Ķïřãņ-The ray of light,"{'type': 'Point', 'coordinates': [27.6833015, 85.34432778]}","Missing those days 😒 @ Tinkune ,subidhanagar, Ktm  https://t.co/fR2qhagacL",en,[],['https://www.instagram.com/p/B8BucPIF2ELdHx97qy2EpkWjNheXtpjnmTRkbk0/?igshid=as5773agw9ok'],[],0,0,0,[],[],https://twitter.com/krishnakhadkav/status/1223608186848055297,False,,0,,kathmandu,,,,,,[],,,,
1218773726637879298,1218773726637879298,2020-01-19 11:39:34 +0545,2020-01-19,11:39:34,+0545,1218507025795047431,lfuxxu,Suhang-sangita,,जिउदो हुदा पसु झै ब्यावहार गर्ने मरे पछि राज खान्दान झै सम्मान गर्ने यो समाज एउटा बढो नाटकिय देखावटी चलन जस्तो लाग्न थालेको छ्।हिजो आज 😒😒  https://t.co/FiLrqzOGDk,ne,[],[],['https://pbs.twimg.com/media/EOn0PPJU0AEC5Ls.jpg'],0,0,6,[],[],https://twitter.com/LFuxxu/status/1218773726637879298,False,,1,https://pbs.twimg.com/media/EOn0PPJU0AEC5Ls.jpg,kathmandu,,,,,,[],,,,
1199003911685885952,1199003911685885952,2019-11-25 22:21:23 +0545,2019-11-25,22:21:23,+0545,159357787,annisa_ichaaa,Annisa F Effendi,"{'type': 'Point', 'coordinates': [27.71866772, 85.5179193]}","""Because It is there!"" ~ George Mallory 1923   It was a long exhausted  climb to the top of the hill, (i really need to exercise more 😒 ) but the magical view from the top was worth it.…  https://t.co/8PBzZTtQKC",en,[],['https://www.instagram.com/p/B5S5tYXDgJVvbwlDFxZdL8PDxJs5yvSMZx6bQo0/?igshid=fiojy0fjgszh'],[],0,0,0,[],[],https://twitter.com/annisa_ichaaa/status/1199003911685885952,False,,0,,kathmandu,,,,,,[],,,,
