id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1386191670039834626,1386191670039834626,2021-04-25 11:18:42 +0545,2021-04-25,11:18:42,+0545,1332667054265040902,ramilanepal7,Ramila Nepal,,हेभगवा 😭😭 कोरोना को कारण भारत को नयाँ दिल्ली मा देखियका यी दृश्य सचिकै हृदय बिदारक छन । नेपाल्मा पनि यसो नहोला भन्न सकिदैन । समयमै सतर्कता  अपनाउ। पिलीच सबैले।😭😭😭  https://t.co/4AFkmKRUz4,ne,[],[],['https://pbs.twimg.com/media/Ezy9-fuUUAI78nl.jpg'],1,0,2,[],[],https://twitter.com/RamilaNepal7/status/1386191670039834626,False,,1,https://pbs.twimg.com/media/Ezy9-fuUUAI78nl.jpg,kathmandu,,,,,,[],,,,
1383514525870092291,1383452545822035971,2021-04-18 02:00:42 +0545,2021-04-18,02:00:42,+0545,966234578724839424,sanskritiikarki,cheena harako manche 🏳️‍🌈🌈🦄,,@thevermilionguy 😭here,en,[],[],[],1,0,0,[],[],https://twitter.com/sanskritiikarki/status/1383514525870092291,False,,0,,kathmandu,,,,,,"[{'screen_name': 'thevermilionguy', 'name': 'Prashanna Nepal', 'id': '796220896956452864'}]",,,,
1364974120996204548,1364974120996204548,2021-02-25 22:07:45 +0545,2021-02-25,22:07:45,+0545,1350973254140387329,ishaancupid,Samriddhi♡︎,,Look at this cute baby😍😭 #ishaankhatter Being cute.       =      Being cutest😭😭  https://t.co/rMa6zRym0E,en,[],[],"['https://pbs.twimg.com/media/EvFcub6UYAAtcaC.jpg', 'https://pbs.twimg.com/media/EvFcuoeU4AMjeIC.jpg']",1,0,11,['ishaankhatter'],[],https://twitter.com/ishaancupid/status/1364974120996204548,False,,1,https://pbs.twimg.com/media/EvFcub6UYAAtcaC.jpg,kathmandu,,,,,,[],,,,
1354075001285009408,1354075001285009408,2021-01-26 20:18:32 +0545,2021-01-26,20:18:32,+0545,1345273833134063616,binodsh23193048,Binod Shah,,"जिन्दगी भनेको यस्तै रहेछ साथी जति उमेर बढ्दै गयो, उति उति खल्लो अनि जति चिन्दै गयो उति नै एक्लो!!💔😭  https://t.co/oNoWa4Vyv8",ne,[],[],['https://pbs.twimg.com/media/EsqkCVnXEAARl5v.jpg'],0,0,1,[],[],https://twitter.com/BinodSh23193048/status/1354075001285009408,False,,1,https://pbs.twimg.com/media/EsqkCVnXEAARl5v.jpg,kathmandu,,,,,,[],,,,
1345923079059382273,1345923079059382273,2021-01-04 08:25:42 +0545,2021-01-04,08:25:42,+0545,46317953,aloktuladhar,Alok Siddhi Tuladhar,,Crying with Kamalpokhari. 😭   Hatching a plan to save it from obliteration. 🌅  Asserting to end impunity once and for all. 💪  We are seeking your active support. Thank you. 🙏  https://t.co/jjiwYXL9rd,en,[],[],['https://pbs.twimg.com/media/Eq2t58YVgAAeI4_.jpg'],1,31,137,[],[],https://twitter.com/aloktuladhar/status/1345923079059382273,False,,1,https://pbs.twimg.com/media/Eq2t58YVgAAeI4_.jpg,kathmandu,,,,,,[],,,,
1344633803025780738,1344633803025780738,2020-12-31 19:02:35 +0545,2020-12-31,19:02:35,+0545,2922188354,yogeshkunwar94,Yogesh chhetri,,हे मेरो सरकार! काम छैन दाम छैन सुरु सुरु गरेको ब्यवसाय यो कोरोनाले खाइदियो अब के गर्ने होला! थुक्क हामी गरिब जनता 😭।,ne,[],[],[],0,0,0,[],[],https://twitter.com/yogeshkunwar94/status/1344633803025780738,False,,0,,kathmandu,,,,,,[],,,,
1335935248996073472,1335935248996073472,2020-12-07 18:57:38 +0545,2020-12-07,18:57:38,+0545,845231432008118273,mukeshjais5051,mukeshjaiswal,,When life give you 100 reason to cry 😭 Show life that you have 1000 reason to smile 😁 #Today is very special day of my life  I am tweeting this so that I will remember this day throughout my life  #and yes this my first tweet  https://t.co/jUI9Z1Bmwa,en,[],[],['https://pbs.twimg.com/media/EooyB0GU8AApT_X.jpg'],0,0,5,"['today', 'and']",[],https://twitter.com/mukeshjais5051/status/1335935248996073472,False,,1,https://pbs.twimg.com/media/EooyB0GU8AApT_X.jpg,kathmandu,,,,,,[],,,,
1334093606257192961,1334093606257192961,2020-12-02 16:59:36 +0545,2020-12-02,16:59:36,+0545,2922188354,yogeshkunwar94,Yogesh chhetri,,थुक्क! हामी गरिब जनता 😭देश धनी जनता गरिब भन्ने सुनेथ्यौ तर आज भोलि देश गरिब नेता घनी हुने दिन पो आएछ ।😭 जय नेपाल 🇳🇵👍... #nepal #nepali #ilovemycountry,ne,[],[],[],0,2,1,"['nepal', 'nepali', 'ilovemycountry']",[],https://twitter.com/yogeshkunwar94/status/1334093606257192961,False,,0,,kathmandu,,,,,,[],,,,
1329442658343923716,1329441281039364098,2020-11-19 20:58:24 +0545,2020-11-19,20:58:24,+0545,2501697452,ic3mvvn,Ice 🥶,,@donkiyeti Big bro I told them that u sent me and they locked me up and beat me up wtf 😭 is the gov on u or sum ?,en,[],[],[],1,0,8,[],[],https://twitter.com/ic3mvvn/status/1329442658343923716,False,,0,,kathmandu,,,,,,"[{'screen_name': 'donkiyeti', 'name': 'DON कि YETi?', 'id': '3069698891'}]",,,,
1326445263431495680,1326445263431495680,2020-11-11 14:27:49 +0545,2020-11-11,14:27:49,+0545,1279714657,srk_raibatchan,Linda Abu-Ghribah,,النيبال  فيو الغرفه عجبني بس البلد فقيرة يالله 😭😭✈️  https://t.co/hc27Bd2sWN,ar,[],[],[],0,0,2,[],[],https://twitter.com/Srk_raibatchan/status/1326445263431495680,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1326445221983346689/pu/img/D3cJs4JkjVLPhGjP.jpg,kathmandu,,,,,,[],,,,
